dataset_name,clust_genetic,clust_genetic_error1,clust_genetic_error2,clust_simple,clust_simple_error1,clust_simple_error2,simple_genetic,simple_genetic_error1,simple_genetic_error2,simple_simple,simple_simple_error1,simple_simple_error2
red_7_dataset13,3,3,0,8,8,0,19,19,0,-1
red_7_dataset2,7,7,0,7,7,0,18,18,0,30,30,0
red_7_dataset3,6,6,0,13,13,0,10,10,0,25,25,0
red_7_dataset4,0,0,0,5,5,0,32,32,0,33,13,1
red_7_dataset5,3,3,0,8,8,0,12,12,0,29,29,0
red_7_dataset6,5,5,0,11,11,0,16,16,0,36,36,0
red_7_dataset7,6,6,0,15,15,0,7,7,0,27,7,1
red_7_dataset8,5,5,0,19,19,0,9,9,0,53,53,0
red_7_dataset9,1,1,0,10,10,0,7,7,0,181,141,2
red_dataset0,39,39,0,59,39,1,82,82,0,330,330,0
red_dataset1,0,0,0,9,9,0,6,6,0,813,813,0
red_dataset10,3,3,0,4,4,0,10,10,0,32,32,0
red_dataset11,9,9,0,26,26,0,35,35,0,30,10,1
red_dataset12,0,0,0,20,20,0,13,13,0,58,58,0
red_dataset13,4,4,0,9,9,0,6,6,0,31,31,0
red_dataset14,5,5,0,8,8,0,16,16,0,91,51,2
red_dataset15,1,1,0,13,13,0,25,25,0,61,21,2
red_dataset16,1,1,0,12,12,0,8,8,0,149,149,0
red_dataset17,9,9,0,34,14,1,70,10,3,75,15,3
red_dataset18,5,5,0,10,10,0,19,19,0,70,50,1
red_dataset19,0,0,0,2,2,0,7,7,0,18,18,0
red_dataset2,0,0,0,1,1,0,9,9,0,51,51,0
red_dataset20,1,1,0,11,11,0,8,8,0,40,20,1
red_dataset21,2,2,0,9,9,0,24,24,0,16,16,0
red_dataset22,8,8,0,17,17,0,7,7,0,60,20,2
red_dataset23,4,4,0,10,10,0,15,15,0,29,29,0
red_dataset24,6,6,0,4,4,0,11,11,0,74,74,0
red_dataset25,3,3,0,8,8,0,17,17,0,23,23,0
red_dataset26,5,5,0,2,2,0,10,10,0,773,773,0
red_dataset27,6,6,0,11,11,0,13,13,0,1872,1872,0
red_dataset28,4,4,0,14,14,0,13,13,0,124,124,0
red_dataset29,3,3,0,11,11,0,8,8,0,330,330,0
red_dataset3,8,8,0,10,10,0,22,22,0,36,16,1
red_dataset30,2,2,0,10,10,0,18,18,0,-1
red_dataset4,1,1,0,3,3,0,16,16,0,130,10,6
red_dataset5,1,1,0,8,8,0,10,10,0,90,90,0
red_dataset6,0,0,0,9,9,0,10,10,0,38,38,0
red_dataset7,2,2,0,7,7,0,9,9,0,99,19,4
red_dataset8,9,9,0,16,16,0,29,29,0,17,17,0
red_dataset9,0,0,0,9,9,0,2,2,0,777,777,0
whitedataset0,2,2,0,6,6,0,10,10,0,74,14,3
whitedataset1,11,11,0,11,11,0,31,11,1,47,47,0
whitedataset10,4,4,0,8,8,0,-1,-1
whitedataset2,1,1,0,7,7,0,7,7,0,66,6,3
whitedataset3,8,8,0,7,7,0,20,20,0,54,14,2
whitedataset4,9,9,0,10,10,0,13,13,0,157,157,0
whitedataset5,4,4,0,7,7,0,16,16,0,20,20,0
whitedataset7,97,77,1,174,54,6,104,64,2,204,124,4
whitedataset8,5,5,0,9,9,0,23,23,0,33,33,0
whitedataset9,7,7,0,10,10,0,26,26,0,147,7,7
